noun,gender,lang
école,feminine,French
écolière,feminine,French
écologie,feminine,French
écologisation,feminine,French
écologiste,feminine,French
écologue,feminine,French
économétricienne,feminine,French
économétrie,feminine,French
économiste,feminine,French
daim,masculine,French
dalécarlien,masculine,French
dallage,masculine,French
dalmate,masculine,French
dalot,masculine,French
daltoniste,masculine,French
damascène,masculine,French
Damascène,masculine,French
damasquinage,masculine,French
damasquineur,masculine,French
damedieu,masculine,French
Damien,masculine,French
damier,masculine,French
damoiseau,masculine,French
dandinement,masculine,French
danegeld,masculine,French
Danemark,masculine,French
danger,masculine,French
écope,feminine,French
écoperche,feminine,French
écophysiologie,feminine,French
écorchure,feminine,French
écore,feminine,French
écosocialiste,feminine,French
écosphère,feminine,French
Ecossaise,feminine,French
Écossaise,feminine,French
écosseuse,feminine,French
écotechnologie,feminine,French
écotoxicité,feminine,French
écotoxicologie,feminine,French
écoute,feminine,French
Danien,masculine,French
danois,masculine,French
danseur,masculine,French
dantoniste,masculine,French
Danube,masculine,French
Daoust,masculine,French
daphné,masculine,French
darija,masculine,French
das,masculine,French
dasyure,masculine,French
datage,masculine,French
datagramme,masculine,French
dataire,masculine,French
écoutille,feminine,French
écoville,feminine,French
écozone,feminine,French
écraniste,feminine,French
écraseuse,feminine,French
écriture,feminine,French
écrivaine,feminine,French
écriveuse,feminine,French
écrouelles,feminine,French
ectasie,feminine,French
ectosymbiose,feminine,French
ectotherme,feminine,French
ectype,feminine,French
écuelle,feminine,French
écume,feminine,French
écumoire,feminine,French
écurie,feminine,French
édification,feminine,French
édilité,feminine,French
datathon,masculine,French
date,masculine,French
Daudet,masculine,French
dauphin,masculine,French
dauphinois,masculine,French
dazibao,masculine,French
éducologie,feminine,French
édulcoration,feminine,French
Edwige,feminine,French
efface,feminine,French
effémination,feminine,French
efférence,feminine,French
effervescence,feminine,French
dealer,masculine,French
dealeur,masculine,French
déballage,masculine,French
déballement,masculine,French
débandement,masculine,French
débardage,masculine,French
débardeur,masculine,French
débauchage,masculine,French
débaucheur,masculine,French
débillardement,masculine,French
débismuthage,masculine,French
débit,masculine,French
débitage,masculine,French
débiteur,masculine,French
débogage,masculine,French
débogueur,masculine,French
déboucheur,masculine,French
débouquement,masculine,French
débridement,masculine,French
